# What the Go precompiles said when they read the corpus back.
# R	<id>	<status>	<gas-charged>	<output-hex>	<note>
R	BN256SCALARMUL_CDETRIO8	OK	6000	221a3577763877920d0d14a91cd59b9479f83b87a653bb41f82a3f6f120cea7c2752c7f64cdd7f0e494bff7b60419f242210f2026ed2ec70f89f78a4c56a1f15	geth:BN254_MUL
R	BN256SCALARMUL_CDETRIO9	OK	6000	228e687a379ba154554040f8821f4e41ee2be287c201aa9c3bc02c9dd12f1e691e0fd6ee672d04cfd924ed8fdc7ba5f2d06c53c1edc30f65f2af5a5b97f0a76a	geth:BN254_MUL
R	ECRECOVER_CALLECRECOVERUNRECOVERABLEKEY	OK	3000	-	geth:ECREC
R	ECRECOVER_VALIDKEY	OK	3000	000000000000000000000000a94f5374fce5edbc8e2a8697c15331677e6ebf0b	geth:ECREC
R	ECRECOVER_INVALIDHIGHV_BITS_1	OK	3000	-	geth:ECREC
R	ECRECOVER_INVALIDHIGHV_BITS_2	OK	3000	-	geth:ECREC
R	ECRECOVER_INVALIDHIGHV_BITS_3	OK	3000	-	geth:ECREC
R	FAIL_BLAKE2F_VECTOR_0__EMPTY_INPUT	FAILED	0	-	geth:BLAKE2F: invalid input length
R	FAIL_BLAKE2F_VECTOR_1__LESS_THAN_213_BYTES_INPUT	FAILED	0	-	geth:BLAKE2F: invalid input length
R	FAIL_BLAKE2F_VECTOR_2__MORE_THAN_213_BYTES_INPUT	FAILED	0	-	geth:BLAKE2F: invalid input length
R	FAIL_BLAKE2F_VECTOR_3__MALFORMED_FINAL_BLOCK_INDICATOR_FLAG	FAILED	12	-	geth:BLAKE2F: invalid final flag
R	FAIL_BLSG1ADD_BLS_G1ADD_EMPTY_INPUT	FAILED	375	-	lux:bls12381G1AddConfig: invalid input
R	FAIL_BLSG1ADD_BLS_G1ADD_SHORT_INPUT	FAILED	375	-	lux:bls12381G1AddConfig: invalid input
